osm_way_id,name,highway_class,footway_tag,width_m,surface,district,length_m
1544073747,,footway,,,,South-West,16
1544073753,,pedestrian,,,,South-West,100
1544073757,,footway,,,,South-West,14
1544073759,,footway,,,,South-West,3
1544073773,,footway,,,,South-West,2
1544073774,,footway,,,,South-West,12
1544621558,,footway,,,,New Delhi,13
1544621559,,footway,,,,New Delhi,9
1544621560,,footway,,,,New Delhi,9
1544621575,,footway,crossing,,,New Delhi,37
1544621576,,footway,crossing,,,New Delhi,22
1544621577,,footway,sidewalk,,,New Delhi,248
1544621578,,footway,crossing,,,New Delhi,29
1544621579,,footway,crossing,,,New Delhi,29
1544621580,,footway,crossing,,,New Delhi,24
1544621581,,footway,sidewalk,,,New Delhi,3
1544621582,,footway,crossing,,,New Delhi,28
1544621584,,footway,crossing,,,New Delhi,9
1544858854,,footway,,,,New Delhi,86
1546206087,,footway,,,,New Delhi,14
1547396501,,footway,,,,South-East,9
1547396503,,footway,,,,South-East,20
1547396504,,footway,,,,South-East,40
1547396505,,footway,,,,South-East,3
1547396506,,footway,,,,South-East,53
1547396507,,footway,,,,South-East,17
1547396508,,footway,,,,South-East,8
1547396511,,footway,,,,South-East,329
1547396512,,footway,,,,South-East,3
1547396518,,footway,crossing,,,South-East,11
317614163,,footway,,,paved,Outer,55
735084547,,footway,,,,Outer,249
735088219,,footway,,,,Outer,192
735088220,,footway,,,,Outer,16
735089259,,footway,,,,Outer,69
735111874,,footway,,,,Outer,208
735113548,,footway,,,,Outer,19
735113550,,footway,,,,Outer,17
1050968944,,footway,,,,Rohini,37
1079384826,,footway,,,,Rohini,67
1081133002,,footway,,,,Rohini,92
1121203901,,footway,,,,Outer,98
1121203902,,footway,,,,Outer,11
1121203903,,footway,,,,Outer,8
1121203904,,footway,,,,Outer,29
1121203905,,footway,,,,Outer,5
1121203906,,footway,,,,Outer,13
1121204891,,footway,,,,Outer,21
1121204892,,footway,,,,Outer,33
1121204893,,footway,,,,Outer,154
1171106288,,footway,,,,Outer,70
1210865042,,footway,,,unpaved,Outer,109
1210865043,,footway,,,unpaved,Outer,46
1236250284,,footway,,,,Outer,14
1241835553,,footway,sidewalk,,,Rohini,23
1245180129,,footway,,,,West,58
1253687296,,footway,crossing,,,Outer,25
1255481208,,footway,,,,Rohini,12
1255517676,,footway,,,,Rohini,48
1255517677,,footway,,,,Rohini,3
1255517680,,footway,,,,Rohini,40
1255517681,,footway,,,,Rohini,56
1255525535,,footway,,,,Outer,23
1271099295,,footway,,,,Outer North,46
1283201020,,footway,,,,Outer North,11
1288867464,,footway,sidewalk,,paved,West,207
1288867469,,footway,sidewalk,,paved,West,44
1288867472,,footway,sidewalk,,paved,West,162
1288867473,,footway,sidewalk,,paved,West,20
1288867474,,footway,sidewalk,,paved,West,49
1288867475,,footway,sidewalk,,paved,West,349
1288867477,,footway,sidewalk,,paved,West,39
1288867479,,footway,sidewalk,,paved,West,148
1307404515,,footway,,,,Outer,21
1321774841,,footway,,,,Outer North,6
1415873679,,footway,,,concrete,Outer North,126
1516909554,,footway,,,,Outer,722
1516909555,,footway,,,,Outer,109
1524744299,,footway,,,,Rohini,108
1524744300,,footway,,,,Rohini,56
1524744301,,footway,,,,Rohini,109
1524744302,,pedestrian,,,,Rohini,25
1524744303,,pedestrian,,,,Rohini,27
44141114,,footway,,,,Central,24
44195470,Meena Bazaar,pedestrian,,,,Central,350
44830356,,footway,,,asphalt,North,95
44830357,,pedestrian,,,,Central,278
48532701,,pedestrian,,,,North,174
58802031,,footway,,,,North,123
77614294,,footway,,,,North,20
77643385,,footway,,,,North-West,23
78154823,,footway,,,,North-West,44
78180082,,footway,,,,North-West,181
78755635,,footway,,,,North-West,4
78755733,,footway,alley,,concrete,North-West,114
78785329,,footway,,,,North-West,82
78785532,,footway,,,,North-West,9
78785577,,footway,,,,North-West,38
78786099,,footway,,,,North-West,2
78786483,,footway,,,,North-West,40
78793789,,footway,,,,North-West,53
78793862,,footway,,,,North-West,87
78793864,,footway,,,,North-West,206
78793941,,footway,,,,North-West,56
78793942,,footway,,,,North-West,89
