rank,name,road,simple,fatal,total,lat,lng,x,y,district,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
48,Shani Mandir NH-1,GTK Road,9,3,12,28.738,77.16,605.3,280.9,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,48,Shani Mandir NH-1,3,9,12,28.738,77.16,mapped/project geocode,
49,Ber Sarai Flyover,Outer Ring Road,9,3,12,28.539,77.182,639.9,638.3,South-West,2023,false,false,,,,false,,,,true,2,2,4,false,,,,false,,,,false,,,,,,49,Ber Sarai Flyover,3,9,12,28.539,77.182,mapped/project geocode,
50,Sagarpur Bus Stand,Pankha Road,9,3,12,28.599,77.088,491.8,530.5,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,true,8,2,10,false,,,,,,50,Sagarpur Bus Stand,3,9,12,28.599,77.088,mapped/project geocode,
51,Kanhiya Nagar Metro Station,VIR Banda Bairagi Marg,9,3,12,28.682,77.165,613.2,381.5,North-West,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Kanhiya Nagar Metro Station,3,9,12,28.682,77.165,mapped/project geocode,
52,Metro Station Welcome,G.T. Road,8,3,11,28.672,77.277,789.7,399.4,North-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,52,Metro Station Welcome,3,8,11,28.672,77.277,mapped/project geocode,
53,DTC Bus Depot Nand Nagri,Wazirabad Road,8,3,11,28.696,77.315,849.6,356.3,North-East,2023,false,false,,,,false,,,,true,2,3,5,false,,,,false,,,,false,,,,,,53,DTC Bus Depot Nand Nagri,3,8,11,28.696,77.315,mapped/project geocode,
54,Sai Baba Mandir NH-1,GTK Road,7,3,10,28.741,77.157,600.5,275.5,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,54,Sai Baba Mandir NH-1,3,7,10,28.741,77.157,mapped/project geocode,
55,Lado Sarai Crossing,Mehrauli Badarpur Rd,7,3,10,28.524,77.195,660.4,665.2,South,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,3,3,6,,,55,Lado Sarai Crossing,3,7,10,28.524,77.195,mapped/project geocode,
56,Shaheen Bagh Road No-13A,Road No. 13A,7,3,10,28.546,77.301,827.5,625.7,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,56,Shaheen Bagh Road No-13A,3,7,10,28.546,77.301,mapped/project geocode,
57,Tilak Pul Dabri,Pankha Road,6,3,9,28.608,77.088,491.8,514.4,South-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,57,Tilak Pul Dabri,3,6,9,28.608,77.088,mapped/project geocode,
58,Tikri Khurd Bus Stand,GTK Road,6,3,9,28.818,77.121,543.8,137.3,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,58,Tikri Khurd Bus Stand,3,6,9,28.818,77.121,mapped/project geocode,
59,Kalkaji Mandir,Outer Ring Road,5,3,8,28.549,77.259,761.3,620.3,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,59,Kalkaji Mandir,3,5,8,28.549,77.259,mapped/project geocode,
60,Rajghat,Ring Road,5,3,8,28.64,77.247,742.4,456.9,Central,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,60,Rajghat,3,5,8,28.64,77.247,mapped/project geocode,
61,Deepali Chowk,Outer Ring Road,5,3,8,28.698,77.121,543.8,352.8,Outer,2023,true,false,,,,false,,,,false,,,,true,2,3,5,false,,,,false,,,,,,61,Deepali Chowk,3,5,8,28.698,77.121,mapped/project geocode,
