source_id,agency,corporation,vend_name,address,licence_number,licence_type,status,valid_from,valid_to,snapshot_date,temporal_status,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_is_approximate,geocode_review_status,source_file,source_page
dscsc_vends,Delhi State Civil Supplies Corporation,,TRILOK PURI,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,DILSHAD GARDEN B-BLK,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,AVANTIKA,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,DILSHAD GARDEN C-BLOCK,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,ROHINI EXTN SECTOR-4,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,NAND NAGRI,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,GREEN PARK,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,KARAMPURA,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,LAJWANTI GARDEN,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
dscsc_vends,Delhi State Civil Supplies Corporation,,KALKAJI B34,,,,,,,,unclear,,,,,,user_input_required,C:\Users\ayush\.codex\visualizations\2026\07\28\019fa905-89da-7be3-8b98-d25588b33e06\DelhiCrimeDashboard\tools\pipeline_2025\output\raw\dscsc_vends\liquor-vends-29fa946088f7,
