rank,name,road,simple,fatal,total,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,lat,lng,x,y,district,geocodeSource,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
75,AIIMS,Ring Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.5668602,77.2078058,680.6,588.3,South,"OSM Nominatim (AIIMS, Ring Road, Delhi, India)",75,AIIMS,3,3,6,28.5668602,77.2078058,"OSM Nominatim (AIIMS, Ring Road, Delhi, India)",
76,Tilak Nagar Flyover,Najafgarh Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,28.636,77.096,504.4,464.1,West,matched to 2023 geocoded zone by name,76,Tilak Nagar Flyover,3,3,6,28.636,77.096,matched to 2023 geocoded zone by name,
77,Shani Mandir NH-1,GTK Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.738,77.16,605.3,280.9,Outer North,matched to 2023 geocoded zone by name,77,Shani Mandir NH-1,3,3,6,28.738,77.16,matched to 2023 geocoded zone by name,
78,Tilak Marg Bhagwan Das Marg Crossing,Tilak Marg,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,78,Tilak Marg Bhagwan Das Marg Crossing,3,3,6,,,unresolved,
79,Nirankari Colony,Outer Ring Road,3,3,6,2024,false,false,,,,true,2,3,5,false,,,,false,,,,false,,,,false,,,,,,28.7165712,77.2064187,678.4,319.4,North-West,"OSM Nominatim (Nirankari Colony, Outer Ring Road, Delhi, India)",79,Nirankari Colony,3,3,6,28.7165712,77.2064187,"OSM Nominatim (Nirankari Colony, Outer Ring Road, Delhi, India)",
80,Satya Niketan Nanakpura,Ring Road,3,3,6,2024,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,false,,,,,,,,,,,unresolved,80,Satya Niketan Nanakpura,3,3,6,,,unresolved,
81,Near Haldiram Wazirpur,Ring Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.691,77.15,589.5,365.3,North-West,matched to 2023 geocoded zone by name,81,Near Haldiram Wazirpur,3,3,6,28.691,77.15,matched to 2023 geocoded zone by name,
82,Raja Harishchander Hospital,DSIDC Narela Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.799,77.086,488.7,171.4,Outer North,matched to 2023 geocoded zone by name,82,Raja Harishchander Hospital,3,3,6,28.799,77.086,matched to 2023 geocoded zone by name,
83,Shalimar Bagh,Ring Road,3,3,6,2024,false,false,,,,true,3,3,6,false,,,,false,,,,false,,,,false,,,,,,28.703,77.16,605.3,343.8,North-West,matched to 2023 geocoded zone by name,83,Shalimar Bagh,3,3,6,28.703,77.16,matched to 2023 geocoded zone by name,
84,Round About Bhairaon Enclave,Outer Ring Road,3,3,6,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,84,Round About Bhairaon Enclave,3,3,6,,,unresolved,
85,Jeewan Mala Hospital,New Rohtak Road,2,3,5,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,85,Jeewan Mala Hospital,3,2,5,,,unresolved,
86,Tughlaqabad Village Red Light,Mehrauli Badarpur Road,2,3,5,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,86,Tughlaqabad Village Red Light,3,2,5,,,unresolved,
87,Khel Gaon,NH-24,2,3,5,2024,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,28.6113262,77.2732298,783.7,508.4,East,"OSM Nominatim (Khel Gaon, NH-24, Delhi, India)",87,Khel Gaon,3,2,5,28.6113262,77.2732298,"OSM Nominatim (Khel Gaon, NH-24, Delhi, India)",
88,Near KV School Naraina,Ring Road,2,3,5,2024,false,false,,,,true,1,3,4,false,,,,false,,,,false,,,,false,,,,,,,,,,,unresolved,88,Near KV School Naraina,3,2,5,,,unresolved,
,Hanuman Mandir,,,,,2024,false,false,,,,true,2,3,5,false,,,,false,,,,false,,,,true,3,3,6,,,28.5527309,77.1297546,557.6,613.6,,"OSM Nominatim (Hanuman Mandir, Delhi, India)",89,Hanuman Mandir,,,,28.5527309,77.1297546,"OSM Nominatim (Hanuman Mandir, Delhi, India)",
